Date,pnl_gross
2016-04-28,0.0
2016-04-29,0.0
2016-04-30,0.0
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,-645.4906361125312
2016-06-29,1958.4275432745212
2016-06-30,253.81807799482738
2016-07-01,-461.86225617871554
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,787.4806107478904
2016-07-05,-116.21042467996779
2016-07-06,0.0
2016-07-07,-137.9058693820623
2016-07-08,1183.7625888190796
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,-672.4968400742971
2016-07-12,0.0
2016-07-13,691.7330036428315
2016-07-14,-441.0480130284533
2016-07-15,-592.2591924339594
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,844.5543460699323
2016-07-19,-309.5585776165732
2016-07-20,-348.74858563762814
2016-07-21,955.0731968514369
2016-07-22,-815.1450614350986
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,-105.77807087570612
2016-07-26,601.5911706677812
2016-07-27,0.0
2016-07-28,516.070874302721
2016-07-29,-68.135338678057
2016-07-30,0.0
2016-07-31,0.0
2016-08-01,-466.8722992852725
2016-08-02,390.5092033082491
2016-08-03,180.06932497893308
2016-08-04,-390.53901631153076
2016-08-05,619.3153529824435
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,-62.52912678617051
2016-08-09,46.566118962860784
2016-08-10,217.56569373191815
2016-08-11,655.7377240865825
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,-1077.5156665101913
2016-08-17,59.22290783028973
2016-08-18,67.09936895987533
2016-08-19,-908.38851392957
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,665.5862770382992
2016-08-23,-210.0122461333731
2016-08-24,162.38676491468595
2016-08-25,771.1159984835981
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,186.74151428933249
2016-08-31,333.79097686678347
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,43.247828832460044
2016-09-07,165.81582135548166
2016-09-08,-454.5567862872747
2016-09-09,2310.8146380935323
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,2164.416720278903
2016-09-13,0.0
2016-09-14,131.58529500957306
2016-09-15,-363.9535288245032
2016-09-16,100.55069641763393
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,4.707576967375449
2016-09-21,0.0
2016-09-22,-274.1797597392237
2016-09-23,-625.2196265635579
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,-679.8802789146907
2016-09-27,-443.688005904308
2016-09-28,132.62859504147738
2016-09-29,405.3411198858803
2016-09-30,0.0
2016-10-01,0.0
2016-10-02,0.0
2016-10-03,-50.46619459760482
2016-10-04,-194.4005373478763
2016-10-05,-153.15107860797372
2016-10-06,77.38500325439546
2016-10-07,-130.40849056066284
2016-10-08,0.0
2016-10-09,0.0
2016-10-10,571.8178906201654
2016-10-11,0.0
2016-10-12,0.0
2016-10-13,0.0
2016-10-14,1087.125217122531
2016-10-15,0.0
2016-10-16,0.0
2016-10-17,0.0
2016-10-18,0.0
2016-10-19,400.03051778795265
2016-10-20,0.0
2016-10-21,971.6904973237429
2016-10-22,0.0
2016-10-23,0.0
2016-10-24,-415.55938973061757
2016-10-25,-1704.6363441167812
2016-10-26,574.2607621648643
2016-10-27,-446.09232540678613
2016-10-28,2291.4170482230434
2016-10-29,0.0
2016-10-30,0.0
2016-10-31,0.0
2016-11-01,0.0
2016-11-02,521.1603394694974
2016-11-03,291.82214006525874
2016-11-04,-560.2643837005639
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,-748.0090284207641
2016-11-08,149.98826282850433
2016-11-09,-2725.7431334944295
2016-11-10,-4168.748882647884
2016-11-11,543.9081558950586
