time,pair,signal
2016-07-25,TCS.NS-INFY.NS,-1
2016-07-26,TCS.NS-INFY.NS,0
2016-07-27,TCS.NS-INFY.NS,-1
2016-08-01,TCS.NS-INFY.NS,0
2016-08-02,TCS.NS-INFY.NS,-1
2016-08-05,TCS.NS-INFY.NS,0
2016-08-12,TCS.NS-INFY.NS,-1
2016-08-15,TCS.NS-INFY.NS,0
2016-09-08,TCS.NS-INFY.NS,1
2016-09-09,TCS.NS-INFY.NS,0
2016-09-14,TCS.NS-INFY.NS,1
2016-09-15,TCS.NS-INFY.NS,0
2016-11-14,TCS.NS-INFY.NS,1
2016-11-16,TCS.NS-INFY.NS,0
2016-11-17,TCS.NS-INFY.NS,1
2016-11-18,TCS.NS-INFY.NS,0
2017-01-04,TCS.NS-INFY.NS,-1
2017-01-05,TCS.NS-INFY.NS,1
2017-01-11,TCS.NS-INFY.NS,0
2017-01-12,TCS.NS-INFY.NS,1
2017-01-18,TCS.NS-INFY.NS,0
2017-01-19,TCS.NS-INFY.NS,1
2017-01-23,TCS.NS-INFY.NS,0
2017-01-25,TCS.NS-INFY.NS,-1
2017-01-30,TCS.NS-INFY.NS,0
2017-01-31,TCS.NS-INFY.NS,1
2017-02-08,TCS.NS-INFY.NS,0
2017-02-10,TCS.NS-INFY.NS,-1
2017-02-17,TCS.NS-INFY.NS,0
2017-02-20,TCS.NS-INFY.NS,-1
2017-02-22,TCS.NS-INFY.NS,0
2017-02-23,TCS.NS-INFY.NS,-1
2017-03-06,TCS.NS-INFY.NS,0
2017-03-07,TCS.NS-INFY.NS,-1
2017-03-20,TCS.NS-INFY.NS,0
2017-05-16,TCS.NS-INFY.NS,-1
2017-05-17,TCS.NS-INFY.NS,0
2017-05-21,TCS.NS-INFY.NS,-1
2017-05-22,TCS.NS-INFY.NS,0
2017-05-23,TCS.NS-INFY.NS,-1
2017-05-24,TCS.NS-INFY.NS,0
2017-05-26,TCS.NS-INFY.NS,-1
2017-06-15,TCS.NS-INFY.NS,0
2017-06-19,TCS.NS-INFY.NS,-1
2017-06-21,TCS.NS-INFY.NS,0
2017-07-11,TCS.NS-INFY.NS,-1
2017-07-12,TCS.NS-INFY.NS,0
2017-07-21,TCS.NS-INFY.NS,-1
2017-07-28,TCS.NS-INFY.NS,0
2017-08-04,TCS.NS-INFY.NS,-1
2017-08-11,TCS.NS-INFY.NS,0
2017-08-18,TCS.NS-INFY.NS,-1
2017-09-01,TCS.NS-INFY.NS,0
2017-09-04,TCS.NS-INFY.NS,-1
2017-09-29,TCS.NS-INFY.NS,0
2017-10-11,TCS.NS-INFY.NS,-1
2017-12-08,TCS.NS-INFY.NS,0
2017-12-11,TCS.NS-INFY.NS,-1
2017-12-12,TCS.NS-INFY.NS,0
2017-12-13,TCS.NS-INFY.NS,-1
2017-12-14,TCS.NS-INFY.NS,1
2017-12-18,TCS.NS-INFY.NS,0
2017-12-29,TCS.NS-INFY.NS,-1
2018-01-01,TCS.NS-INFY.NS,0
2018-01-05,TCS.NS-INFY.NS,-1
2018-01-15,TCS.NS-INFY.NS,0
2018-01-16,TCS.NS-INFY.NS,-1
2018-01-22,TCS.NS-INFY.NS,0
2018-01-25,TCS.NS-INFY.NS,-1
2018-03-13,TCS.NS-INFY.NS,0
2018-03-15,TCS.NS-INFY.NS,1
2018-03-20,TCS.NS-INFY.NS,0
2018-03-23,TCS.NS-INFY.NS,1
2018-03-24,TCS.NS-INFY.NS,0
2018-04-11,TCS.NS-INFY.NS,-1
2018-04-20,TCS.NS-INFY.NS,0
2018-04-21,TCS.NS-INFY.NS,-1
2018-07-06,TCS.NS-INFY.NS,0
2018-07-07,TCS.NS-INFY.NS,-1
2018-07-11,TCS.NS-INFY.NS,0
2018-07-13,TCS.NS-INFY.NS,-1
2018-09-24,TCS.NS-INFY.NS,0
2018-09-25,TCS.NS-INFY.NS,-1
2018-10-12,TCS.NS-INFY.NS,0
2018-10-15,TCS.NS-INFY.NS,-1
2018-10-17,TCS.NS-INFY.NS,1
2018-10-19,TCS.NS-INFY.NS,0
2018-10-23,TCS.NS-INFY.NS,1
2018-10-24,TCS.NS-INFY.NS,0
2018-10-26,TCS.NS-INFY.NS,1
2018-10-28,TCS.NS-INFY.NS,0
2019-01-11,TCS.NS-INFY.NS,1
2019-01-17,TCS.NS-INFY.NS,0
2019-02-19,TCS.NS-INFY.NS,1
2019-02-22,TCS.NS-INFY.NS,0
2019-04-15,TCS.NS-INFY.NS,-1
2019-04-16,TCS.NS-INFY.NS,0
2019-04-17,TCS.NS-INFY.NS,-1
2019-05-03,TCS.NS-INFY.NS,0
2019-05-06,TCS.NS-INFY.NS,-1
2019-05-10,TCS.NS-INFY.NS,0
2019-05-30,TCS.NS-INFY.NS,-1
2019-07-09,TCS.NS-INFY.NS,0
2019-07-18,TCS.NS-INFY.NS,1
2019-07-21,TCS.NS-INFY.NS,0
2019-08-05,TCS.NS-INFY.NS,-1
2019-08-06,TCS.NS-INFY.NS,0
2019-08-08,TCS.NS-INFY.NS,-1
2019-08-13,TCS.NS-INFY.NS,0
2019-08-23,TCS.NS-INFY.NS,-1
2019-08-28,TCS.NS-INFY.NS,0
2019-08-30,TCS.NS-INFY.NS,-1
2019-09-03,TCS.NS-INFY.NS,0
2019-09-20,TCS.NS-INFY.NS,1
2019-09-25,TCS.NS-INFY.NS,0
2019-10-11,TCS.NS-INFY.NS,1
2019-10-14,TCS.NS-INFY.NS,0
2019-10-24,TCS.NS-INFY.NS,-1
2019-10-30,TCS.NS-INFY.NS,0
2019-10-31,TCS.NS-INFY.NS,-1
2019-11-06,TCS.NS-INFY.NS,0
2019-11-13,TCS.NS-INFY.NS,-1
2019-11-15,TCS.NS-INFY.NS,0
2020-01-08,TCS.NS-INFY.NS,-1
2020-01-09,TCS.NS-INFY.NS,0
2020-01-31,TCS.NS-INFY.NS,1
2020-02-03,TCS.NS-INFY.NS,0
2020-02-28,TCS.NS-INFY.NS,1
2020-03-03,TCS.NS-INFY.NS,0
2020-03-09,TCS.NS-INFY.NS,1
