Date,equity_net
2024-04-01,100000.0
2024-04-02,100000.0
2024-04-03,100000.0
2024-04-04,100000.0
2024-04-05,100000.0
2024-04-06,100000.0
2024-04-07,100000.0
2024-04-08,100000.0
2024-04-09,100000.0
2024-04-10,100000.0
2024-04-11,100000.0
2024-04-12,100000.0
2024-04-13,100000.0
2024-04-14,100000.0
2024-04-15,100000.0
2024-04-16,100000.0
2024-04-17,100000.0
2024-04-18,100000.0
2024-04-19,100000.0
2024-04-20,100000.0
2024-04-21,100000.0
2024-04-22,100000.0
2024-04-23,100000.0
2024-04-24,100000.0
2024-04-25,100000.0
2024-04-26,100000.0
2024-04-27,100000.0
2024-04-28,100000.0
2024-04-29,100000.0
2024-04-30,100000.0
2024-05-01,100000.0
2024-05-02,100000.0
2024-05-03,100000.0
2024-05-04,100000.0
2024-05-05,100000.0
2024-05-06,100000.0
2024-05-07,100000.0
2024-05-08,100000.0
2024-05-09,100000.0
2024-05-10,100000.0
2024-05-11,100000.0
2024-05-12,100000.0
2024-05-13,100000.0
2024-05-14,100000.0
2024-05-15,100000.0
2024-05-16,100000.0
2024-05-17,100000.0
2024-05-18,100000.0
2024-05-19,100000.0
2024-05-20,100000.0
2024-05-21,100000.0
2024-05-22,100000.0
2024-05-23,100000.0
2024-05-24,100000.0
2024-05-25,100000.0
2024-05-26,100000.0
2024-05-27,100000.0
2024-05-28,100000.0
2024-05-29,100000.0
2024-05-30,99915.5974
2024-05-31,98288.19943137282
2024-06-01,98203.79683137282
2024-06-02,98175.66263137282
2024-06-03,97190.25661521652
2024-06-04,97673.5330138075
2024-06-05,96443.45930462515
2024-06-06,98112.69726633132
2024-06-07,98062.38435266993
2024-06-08,98062.38435266993
2024-06-09,97949.84755266993
2024-06-10,98966.870957586
2024-06-11,99433.50385054885
2024-06-12,98871.24955788338
2024-06-13,98758.00900568807
2024-06-14,97729.59422892457
2024-06-15,97701.46002892457
2024-06-16,97673.32582892457
2024-06-17,97673.32582892457
2024-06-18,98098.3172552531
2024-06-19,98744.28157669136
2024-06-20,98700.88068964775
2024-06-21,99006.89962409851
2024-06-22,99006.89962409851
2024-06-23,98978.76542409851
2024-06-24,98404.78400403864
2024-06-25,96916.26311955384
2024-06-26,97441.59845023612
2024-06-27,98062.95045164516
2024-06-28,98850.6185228108
2024-06-29,98822.48432281081
2024-06-30,98794.3501228108
2024-07-01,98803.842664038
2024-07-02,98533.01910137034
2024-07-03,98353.09358665367
2024-07-04,98231.6505681485
2024-07-05,98954.47303443647
2024-07-06,98926.33883443646
2024-07-07,98898.20463443646
2024-07-08,98925.67953170404
2024-07-09,99030.38153363792
2024-07-10,98388.28206738668
2024-07-11,98029.30021692826
2024-07-12,97687.78523250058
2024-07-13,97687.78523250058
2024-07-14,97603.38263250058
2024-07-15,96753.78455528524
2024-07-16,97083.66161120006
2024-07-17,97027.39321120006
2024-07-18,94746.72477032457
2024-07-19,91491.93754994188
2024-07-20,91491.93754994188
2024-07-21,91491.93754994188
2024-07-22,89099.93675652784
2024-07-23,88854.29063220939
2024-07-24,88256.0834729239
2024-07-25,87839.40108245033
2024-07-26,90071.52893190947
2024-07-27,90043.39473190947
2024-07-28,89987.12633190947
2024-07-29,89844.95553399096
2024-07-30,89760.29712520524
2024-07-31,89747.86519061525
2024-08-01,88453.90596737445
2024-08-02,90074.43423503626
2024-08-03,90074.43423503626
2024-08-04,90074.43423503626
2024-08-05,89716.63188021952
2024-08-06,89296.71890367776
2024-08-07,89612.5501502778
2024-08-08,89656.62130153069
2024-08-09,89568.93600589581
2024-08-10,89568.93600589581
2024-08-11,89540.80180589581
2024-08-12,88667.64329473316
2024-08-13,88327.22950586246
2024-08-14,89687.44384200135
2024-08-15,89687.44384200135
2024-08-16,89685.04729878687
2024-08-17,89685.04729878687
2024-08-18,89685.04729878687
2024-08-19,90718.60741156706
2024-08-20,90649.64143825075
2024-08-21,90502.15952862054
2024-08-22,90892.15842688899
2024-08-23,88708.81026547667
2024-08-24,88708.81026547667
2024-08-25,88708.81026547667
2024-08-26,89241.68214337328
2024-08-27,89212.03615102037
2024-08-28,87224.94646323886
2024-08-29,87224.94646323886
2024-08-30,87224.94646323886
2024-08-31,87112.40966323885
