Date,equity_gross
2023-04-03,1000000.0
2023-04-04,1000000.0
2023-04-05,1000000.0
2023-04-06,1000000.0
2023-04-07,1000000.0
2023-04-08,1000000.0
2023-04-09,1000000.0
2023-04-10,1000000.0
2023-04-11,1000000.0
2023-04-12,1000000.0
2023-04-13,1000000.0
2023-04-14,1000000.0
2023-04-15,1000000.0
2023-04-16,1000000.0
2023-04-17,1000000.0
2023-04-18,1000000.0
2023-04-19,1000000.0
2023-04-20,1000000.0
2023-04-21,1000000.0
2023-04-22,1000000.0
2023-04-23,1000000.0
2023-04-24,1000000.0
2023-04-25,1000000.0
2023-04-26,1000000.0
2023-04-27,1000000.0
2023-04-28,1000000.0
2023-04-29,1000000.0
2023-04-30,1000000.0
2023-05-01,1000000.0
2023-05-02,1000000.0
2023-05-03,1000000.0
2023-05-04,1000000.0
2023-05-05,1000000.0
2023-05-06,1000000.0
2023-05-07,1000000.0
2023-05-08,1000000.0
2023-05-09,1000000.0
2023-05-10,1000000.0
2023-05-11,1000000.0
2023-05-12,1000000.0
2023-05-13,1000000.0
2023-05-14,1000000.0
2023-05-15,1000000.0
2023-05-16,1000000.0
2023-05-17,1000000.0
2023-05-18,1000000.0
2023-05-19,1000000.0
2023-05-20,1000000.0
2023-05-21,1000000.0
2023-05-22,1000000.0
2023-05-23,1000000.0
2023-05-24,1000000.0
2023-05-25,1000000.0
2023-05-26,1000000.0
2023-05-27,1000000.0
2023-05-28,1000000.0
2023-05-29,1000000.0
2023-05-30,1000000.0
2023-05-31,1000000.0
2023-06-01,1000000.0
2023-06-02,999675.0281597405
2023-06-03,999675.0281597405
2023-06-04,999675.0281597405
2023-06-05,1006590.6100784024
2023-06-06,1003426.2638216671
2023-06-07,1002653.1210150566
2023-06-08,1006779.9475984456
2023-06-09,1007000.0469741983
2023-06-10,1007000.0469741983
2023-06-11,1007000.0469741983
2023-06-12,1001995.3019608157
2023-06-13,997404.675192084
2023-06-14,998938.3637781331
2023-06-15,986537.176323977
2023-06-16,987838.2157723824
2023-06-17,987838.2157723824
2023-06-18,987838.2157723824
2023-06-19,990625.6176139002
2023-06-20,989922.0774845772
2023-06-21,997876.7057722576
2023-06-22,1003207.655180931
2023-06-23,988107.9079948687
2023-06-24,988107.9079948687
2023-06-25,988107.9079948687
2023-06-26,988837.8988617591
2023-06-27,991260.5801304955
2023-06-28,990087.3471681952
2023-06-29,990087.3471681952
2023-06-30,989460.9939982872
2023-07-01,989460.9939982872
2023-07-02,989460.9939982872
2023-07-03,1000746.8093031527
2023-07-04,1007994.3381857534
2023-07-05,1008562.2547960822
2023-07-06,1009015.8128758926
2023-07-07,1013132.1021300595
2023-07-08,1013132.1021300595
2023-07-09,1013132.1021300595
2023-07-10,1014218.6146445373
2023-07-11,1004185.4865934729
2023-07-12,1000709.2492368944
2023-07-13,1013160.0461961025
