Date,equity_net
2023-04-03,1000000.0
2023-04-04,1000000.0
2023-04-05,1000000.0
2023-04-06,1000000.0
2023-04-07,1000000.0
2023-04-08,1000000.0
2023-04-09,1000000.0
2023-04-10,1000000.0
2023-04-11,1000000.0
2023-04-12,1000000.0
2023-04-13,1000000.0
2023-04-14,1000000.0
2023-04-15,1000000.0
2023-04-16,1000000.0
2023-04-17,1000000.0
2023-04-18,1000000.0
2023-04-19,1000000.0
2023-04-20,1000000.0
2023-04-21,1000000.0
2023-04-22,1000000.0
2023-04-23,1000000.0
2023-04-24,1000000.0
2023-04-25,1000000.0
2023-04-26,1000000.0
2023-04-27,1000000.0
2023-04-28,1000000.0
2023-04-29,1000000.0
2023-04-30,1000000.0
2023-05-01,1000000.0
2023-05-02,1000000.0
2023-05-03,1000000.0
2023-05-04,1000000.0
2023-05-05,1000000.0
2023-05-06,1000000.0
2023-05-07,1000000.0
2023-05-08,1000000.0
2023-05-09,1000000.0
2023-05-10,1000000.0
2023-05-11,1000000.0
2023-05-12,1000000.0
2023-05-13,1000000.0
2023-05-14,1000000.0
2023-05-15,1000000.0
2023-05-16,1000000.0
2023-05-17,1000000.0
2023-05-18,1000000.0
2023-05-19,1000000.0
2023-05-20,1000000.0
2023-05-21,1000000.0
2023-05-22,1000000.0
2023-05-23,1000000.0
2023-05-24,1000000.0
2023-05-25,1000000.0
2023-05-26,1000000.0
2023-05-27,1000000.0
2023-05-28,1000000.0
2023-05-29,1000000.0
2023-05-30,1000000.0
2023-05-31,1000000.0
2023-06-01,999155.974
2023-06-02,998831.0021597404
2023-06-03,998831.0021597404
2023-06-04,998831.0021597404
2023-06-05,1005746.5840784025
2023-06-06,1002582.237821667
2023-06-07,1001527.7530150566
2023-06-08,1005654.5795984456
2023-06-09,1005874.6789741983
2023-06-10,1005874.6789741983
2023-06-11,1005874.6789741983
2023-06-12,1000869.9339608157
2023-06-13,996279.3071920841
2023-06-14,997672.3247781331
2023-06-15,984989.795323977
2023-06-16,986150.1637723825
2023-06-17,986150.1637723825
2023-06-18,986009.4927723825
2023-06-19,988656.2236139002
2023-06-20,987952.6834845772
2023-06-21,995625.9697722577
2023-06-22,1000816.248180931
2023-06-23,985575.8299948687
2023-06-24,985575.8299948687
2023-06-25,985575.8299948687
2023-06-26,986305.8208617591
2023-06-27,988728.5021304955
2023-06-28,987555.2691681952
2023-06-29,987555.2691681952
2023-06-30,986788.2449982873
2023-07-01,986788.2449982873
2023-07-02,986788.2449982873
2023-07-03,997933.3893031528
2023-07-04,1005180.9181857534
2023-07-05,1005467.4927960822
2023-07-06,1005921.0508758926
2023-07-07,1010037.3401300595
2023-07-08,1010037.3401300595
2023-07-09,1009896.6691300594
2023-07-10,1010701.8396445373
2023-07-11,1000528.0405934729
2023-07-12,996911.1322368945
2023-07-13,1009221.2581961026
2023-07-14,1011257.3357771902
