Date,pnl_net
2024-04-01,0.0
2024-04-02,0.0
2024-04-03,0.0
2024-04-04,0.0
2024-04-05,0.0
2024-04-06,0.0
2024-04-07,0.0
2024-04-08,0.0
2024-04-09,0.0
2024-04-10,0.0
2024-04-11,0.0
2024-04-12,0.0
2024-04-13,0.0
2024-04-14,0.0
2024-04-15,0.0
2024-04-16,0.0
2024-04-17,0.0
2024-04-18,0.0
2024-04-19,0.0
2024-04-20,0.0
2024-04-21,0.0
2024-04-22,0.0
2024-04-23,0.0
2024-04-24,0.0
2024-04-25,0.0
2024-04-26,0.0
2024-04-27,0.0
2024-04-28,0.0
2024-04-29,0.0
2024-04-30,0.0
2024-05-01,0.0
2024-05-02,0.0
2024-05-03,0.0
2024-05-04,0.0
2024-05-05,0.0
2024-05-06,0.0
2024-05-07,0.0
2024-05-08,0.0
2024-05-09,0.0
2024-05-10,0.0
2024-05-11,0.0
2024-05-12,0.0
2024-05-13,0.0
2024-05-14,0.0
2024-05-15,0.0
2024-05-16,0.0
2024-05-17,0.0
2024-05-18,0.0
2024-05-19,0.0
2024-05-20,0.0
2024-05-21,0.0
2024-05-22,0.0
2024-05-23,0.0
2024-05-24,0.0
2024-05-25,0.0
2024-05-26,0.0
2024-05-27,0.0
2024-05-28,0.0
2024-05-29,0.0
2024-05-30,-140.671
2024-05-31,-2099.4604270374766
2024-06-01,-28.1342
2024-06-02,-56.2684
2024-06-03,-3479.7627196506137
2024-06-04,17407.06695778672
2024-06-05,-589.7208984363633
2024-06-06,22.78559817714254
2024-06-07,6.805041703855849
2024-06-08,-28.1342
2024-06-09,0.0
2024-06-10,1115.8011667284277
2024-06-11,-125.18761026380831
2024-06-12,80.59752875651037
2024-06-13,-56.2684
2024-06-14,131.52898209643962
2024-06-15,0.0
2024-06-16,-56.2684
2024-06-17,0.0
2024-06-18,-28.1342
2024-06-19,-944.893316740161
2024-06-20,-58.76463121916676
2024-06-21,-1049.3190440747217
2024-06-22,-28.1342
2024-06-23,0.0
2024-06-24,-227.50583320301595
2024-06-25,-1598.6817200336852
2024-06-26,2218.6399324179915
2024-06-27,-366.5491005351853
2024-06-28,420.8788852994911
2024-06-29,0.0
2024-06-30,-56.2684
2024-07-01,140.9804722306167
2024-07-02,-1930.2269174355956
2024-07-03,1501.8548338349688
2024-07-04,159.4336336610422
2024-07-05,2646.2227531732674
2024-07-06,0.0
2024-07-07,-84.4026
2024-07-08,66.27497903693074
2024-07-09,1399.2497742265848
2024-07-10,-145.02363112109884
2024-07-11,85.99190306773451
2024-07-12,-873.5305292850497
2024-07-13,-56.2684
2024-07-14,-196.93939999999998
2024-07-15,1581.7722419074207
2024-07-16,-614.1864602311091
2024-07-17,-28.1342
2024-07-18,-3387.686989958128
2024-07-19,-2039.0598306219676
2024-07-20,0.0
2024-07-21,-84.4026
2024-07-22,-2012.500478508052
2024-07-23,-1078.9036996694458
2024-07-24,-710.3752091794814
2024-07-25,-664.9113165671155
2024-07-26,-2354.3860023200687
2024-07-27,-28.1342
2024-07-28,-56.2684
2024-07-29,947.1319023358491
2024-07-30,-293.8585694849041
2024-07-31,149.53766428965912
2024-08-01,270.59681981373825
2024-08-02,0.0
2024-08-03,0.0
2024-08-04,0.0
2024-08-05,0.0
2024-08-06,0.0
2024-08-07,-28.1342
2024-08-08,-100.0938773885518
2024-08-09,355.7137727339166
2024-08-10,0.0
2024-08-11,-28.1342
2024-08-12,-28.1342
2024-08-13,-184.40689068798477
2024-08-14,46.87345051991976
2024-08-15,-28.1342
2024-08-16,0.0
2024-08-17,0.0
2024-08-18,0.0
2024-08-19,-28.1342
2024-08-20,-68.96597331630173
2024-08-21,-147.48190963020647
2024-08-22,575.8688157727278
2024-08-23,-28.1342
2024-08-24,0.0
2024-08-25,0.0
2024-08-26,-170.21668853046012
2024-08-27,-194.25701670584328
2024-08-28,-146.69687995185242
2024-08-29,502.748284687305
2024-08-30,-92.47365043259404
2024-08-31,0.0
2024-09-01,0.0
2024-09-02,120.28094692682802
2024-09-03,-28.1342
2024-09-04,-19.327585745796405
2024-09-05,33.451307377397434
2024-09-06,-28.1342
2024-09-07,0.0
2024-09-08,-28.1342
2024-09-09,-56.2684
2024-09-10,-127.94854020722113
2024-09-11,-465.50916306158155
