Date,AAPL,GOOGL,META,MSFT,NVDA
2017-01-03,26.827251434326172,40.15964889526367,116.2223892211914,56.497406005859375,2.5124878883361816
2017-01-04,26.797222137451172,40.14772415161133,118.04241180419922,56.24462127685547,2.5711073875427246
2017-01-05,26.933494567871094,40.40865707397461,120.01161193847656,56.24462127685547,2.505838394165039
2017-01-06,27.23375701904297,41.014522552490234,122.7366714477539,56.73213195800781,2.5393362045288086
2017-01-09,27.48320770263672,41.1124382019043,124.2185287475586,56.551578521728516,2.6422879695892334
2017-01-10,27.510915756225586,41.05427932739258,123.6715316772461,56.53352355957031,2.6223371028900146
2017-01-11,27.65874481201172,41.24563980102539,125.40203094482422,57.04811477661133,2.5900731086730957
2017-01-12,27.54325294494629,41.22923278808594,125.92913818359375,56.52450180053711,2.5477097034454346
2017-01-13,27.494749069213867,41.29930877685547,127.63975524902344,56.605743408203125,2.5474634170532227
2017-01-17,27.716487884521484,41.12635040283203,127.17233276367188,56.4522705078125,2.4903221130371094
2017-01-18,27.714170455932617,41.20388412475586,127.2220458984375,56.4251708984375,2.535640239715576
2017-01-19,27.665666580200195,40.97277069091797,126.85407257080078,56.24462127685547,2.5900731086730957
2017-01-20,27.716487884521484,41.16164016723633,126.34686279296875,56.64186477661133,2.5617482662200928
2017-01-23,27.734960556030273,41.969791412353516,128.22654724121094,56.84046173095703,2.5883476734161377
2017-01-24,27.709556579589844,42.22327423095703,128.6641082763672,57.346046447753906,2.643519163131714
2017-01-25,28.15070915222168,42.6666145324707,130.76263427734375,57.49048614501953,2.6548497676849365
2017-01-26,28.164562225341797,42.59355163574219,132.0555419921875,58.023155212402344,2.7006607055664062
2017-01-27,28.16687774658203,41.99961471557617,131.4588165283203,59.386383056640625,2.752875566482544
2017-01-30,28.092966079711914,40.9459342956543,130.26536560058594,58.799556732177734,2.709773302078247
2017-01-31,28.028287887573242,40.7650146484375,129.60894775390625,58.36620330810547,2.6890852451324463
2017-02-01,29.73748016357422,40.51899337768555,132.50308227539062,57.400203704833984,2.8065693378448486
2017-02-02,29.686670303344727,40.66909408569336,130.12611389160156,57.03006362915039,2.8420355319976807
2017-02-03,29.813697814941406,40.76203536987305,130.26536560058594,57.49048614501953,2.817159652709961
2017-02-06,30.093170166015625,40.836097717285156,131.3394775390625,57.454368591308594,2.8893251419067383
2017-02-07,30.37957763671875,41.21432113647461,131.12066650390625,57.26478576660156,2.9341516494750977
2017-02-08,30.497365951538086,41.24662399291992,133.4677734375,57.18354797363281,2.921344041824341
2017-02-09,30.717737197875977,41.25557327270508,133.40811157226562,57.83355712890625,2.8664190769195557
2017-02-10,30.64815330505371,41.49365234375,133.4578399658203,57.77938461303711,2.798441171646118
2017-02-13,30.9195499420166,41.69792556762695,133.31858825683594,58.42940902709961,2.669381618499756
2017-02-14,31.32087516784668,41.751102447509766,133.1197052001953,58.64739990234375,2.6792328357696533
2017-02-15,31.43453598022461,41.616416931152344,132.71192932128906,58.61106872558594,2.6846516132354736
2017-02-16,31.397424697875977,41.85746765136719,133.1097412109375,58.60197067260742,2.6415491104125977
2017-02-17,31.483247756958008,42.075157165527344,132.80145263671875,58.69281005859375,2.641056537628174
2017-02-21,31.7105712890625,42.210350036621094,132.9904327392578,58.574737548828125,2.7356345653533936
2017-02-22,31.80569076538086,42.31422805786133,135.37730407714844,58.4566535949707,2.73144268989563
2017-02-23,31.6711483001709,42.29633331298828,134.6214599609375,58.69281005859375,2.478175401687622
2017-02-24,31.701303482055664,42.13778305053711,134.70101928710938,58.69281005859375,2.502095937728882
2017-02-27,31.763938903808594,42.23023223876953,135.6657257080078,58.338584899902344,2.574845314025879
2017-02-28,31.777854919433594,41.99464416503906,134.8004608154297,58.111515045166016,2.502588987350464
2017-03-01,32.4273796081543,42.582122802734375,136.6702117919922,58.983455657958984,2.534895896911621
2017-03-02,32.23484420776367,42.23917770385742,136.01380920410156,58.13875961303711,2.4414305686950684
2017-03-03,32.42505645751953,42.200904846191406,136.42156982421875,58.35673904418945,2.4273736476898193
2017-03-06,32.322998046875,42.11094665527344,136.6702117919922,58.37491226196289,2.4086315631866455
2017-03-07,32.364742279052734,42.30378723144531,136.5509033203125,58.492984771728516,2.435018539428711
2017-03-08,32.24412536621094,42.427547454833984,136.9685821533203,59.02885818481445,2.43057918548584
2017-03-09,32.16987991333008,42.636295318603516,137.48573303222656,58.792720794677734,2.430087089538574
2017-03-10,32.2765998840332,42.8137321472168,138.03273010253906,58.974361419677734,2.444389820098877
2017-03-13,32.29051208496094,42.97128677368164,138.83831787109375,58.77454376220703,2.511714220046997
2017-03-14,32.2418098449707,43.037391662597656,138.55987548828125,58.5020751953125,2.5099875926971436
2017-03-15,32.582794189453125,43.160648345947266,138.95767211914062,58.810882568359375,2.5289762020111084
2017-03-16,32.636146545410156,43.24067306518555,139.22621154785156,58.71098327636719,2.560049057006836
2017-03-17,32.47377014160156,43.358463287353516,139.07699584960938,58.91987991333008,2.6157824993133545
2017-03-20,32.81476974487305,43.13679504394531,139.17648315429688,58.974361419677734,2.6991372108459473
2017-03-21,32.43898010253906,42.25358963012695,137.7542724609375,58.32040786743164,2.6118369102478027
2017-03-22,32.80549621582031,42.2366943359375,138.82838439941406,59.06519317626953,2.6651053428649902
2017-03-23,32.68949890136719,41.73221969604492,138.76869201660156,58.91987991333008,2.640937328338623
2017-03-24,32.624549865722656,41.508056640625,139.57427978515625,59.01980209350586,2.6503076553344727
2017-03-27,32.68022918701172,41.675559997558594,139.55441284179688,59.12877655029297,2.6695430278778076
2017-03-28,33.35757827758789,41.78092575073242,140.9865264892578,59.30135726928711,2.655733108520508
2017-03-29,33.43182373046875,42.24017333984375,141.87167358398438,59.464847564697266,2.6471028327941895
2017-03-30,33.387733459472656,42.220787048339844,141.63299560546875,59.68281936645508,2.6979031562805176
2017-03-31,33.32511520385742,42.13728713989258,141.2749481201172,59.81907272338867,2.6863129138946533
2017-04-03,33.33439636230469,42.582122802734375,141.50369262695312,59.537506103515625,2.6727499961853027
2017-04-04,33.58259963989258,42.374366760253906,140.95669555664062,59.70098114013672,2.4853267669677734
2017-04-05,33.40861892700195,42.19245910644531,141.0760498046875,59.546592712402344,2.4668309688568115
2017-04-06,33.32511520385742,42.00309753417969,140.3997344970703,59.70098114013672,2.4848337173461914
2017-04-07,33.25088119506836,41.85398864746094,140.0118865966797,59.65557861328125,2.474229574203491
