Date,AUBANK.NS,AXISBANK.NS,BANDHANBNK.NS,BANKBARODA.NS,CANBK.NS,FEDERALBNK.NS,HDFCBANK.NS,ICICIBANK.NS,IDFCFIRSTB.NS,INDUSINDBK.NS,KOTAKBANK.NS,PNB.NS,SBIN.NS,UNIONBANK.NS
2018-01-01,329.1474914550781,562.4501953125,,143.17227172851562,63.07107925415039,101.98914337158203,869.4623413085938,300.3548583984375,53.558345794677734,1547.8099365234375,994.7457275390625,157.50303649902344,283.36627197265625,125.14315795898438
2018-01-02,328.4275207519531,556.4824829101562,,140.025146484375,61.55857467651367,100.9570541381836,877.8310546875,299.77410888671875,52.679542541503906,1566.96875,997.9786987304688,154.3947296142578,279.8138427734375,122.59538269042969
2018-01-03,332.5738220214844,557.4274291992188,,139.9365234375,61.6897087097168,101.0508804321289,868.5949096679688,304.90423583984375,52.87483596801758,1553.910400390625,994.8948364257812,154.58029174804688,279.4447326660156,123.63177490234375
2018-01-04,335.1807861328125,556.88037109375,,145.2999267578125,63.394569396972656,101.94224548339844,871.9940185546875,304.6138610839844,53.26541519165039,1569.49462890625,995.1932983398438,163.71963500976562,284.6580810546875,127.38866424560547
2018-01-05,347.3217468261719,560.2122192382812,,143.43824768066406,63.79673767089844,105.17925262451172,873.7286376953125,302.8715515136719,56.8782844543457,1618.6783447265625,997.8294677734375,163.30210876464844,282.6742858886719,125.48863220214844
2018-01-08,353.5536193847656,562.400390625,,143.30526733398438,63.77925491333008,108.41625213623047,872.3220825195312,304.08148193359375,61.858184814453125,1639.3623046875,1000.8635864257812,163.0237579345703,282.1667175292969,125.79090881347656
2018-01-09,347.29693603515625,562.251220703125,,145.83184814453125,63.770511627197266,108.04094696044922,873.7755737304688,302.5811462402344,61.321136474609375,1644.2711181640625,1004.49462890625,162.0495147705078,280.7826232910156,124.45225524902344
2018-01-10,347.3714294433594,559.7646484375,,144.05880737304688,62.01319885253906,106.16441345214844,874.010009765625,302.0003356933594,61.760536193847656,1652.897216796875,997.0335693359375,158.33810424804688,277.8299865722656,122.42266082763672
2018-01-11,352.3370666503906,555.7365112304688,,144.7680206298828,62.16182327270508,106.96192932128906,877.9248657226562,299.5804748535156,66.93572998046875,1620.679931640625,1012.353515625,160.28659057617188,278.844970703125,119.87489318847656
2018-01-12,350.1770324707031,552.106201171875,,144.5020751953125,61.89079666137695,107.9471206665039,874.5257568359375,307.5177001953125,65.91045379638672,1625.3983154296875,1018.0237426757812,161.63198852539062,278.8910827636719,118.83851623535156
2018-01-15,351.5674133300781,557.52685546875,,145.74319458007812,61.96074295043945,106.58663940429688,889.7396240234375,318.7458801269531,62.73699188232422,1603.6181640625,1032.9456787109375,159.72987365722656,279.21405029296875,120.52265167236328
2018-01-16,348.93560791015625,560.1625366210938,,139.13864135742188,59.364105224609375,98.28302001953125,890.8648071289062,323.3921203613281,58.635894775390625,1586.651611328125,1027.8721923828125,153.60606384277344,273.26251220703125,117.75894927978516
2018-01-17,352.08880615234375,582.0438842773438,,146.45240783691406,62.030677795410156,98.61140441894531,886.3404541015625,332.2488098144531,59.31940841674805,1579.83642578125,1021.7542724609375,162.88458251953125,283.36627197265625,121.34310913085938
2018-01-18,351.6170349121094,581.6460571289062,,143.9258270263672,61.07770919799805,95.84352111816406,906.8756103515625,335.0558776855469,56.92710494995117,1601.4259033203125,1041.0533447265625,158.19891357421875,279.8138427734375,119.09760284423828
2018-01-19,357.72479248046875,587.066650390625,,146.6297149658203,63.420799255371094,96.78179931640625,915.267822265625,342.26708984375,57.31768798828125,1605.1431884765625,1055.0301513671875,163.67324829101562,285.3501281738281,122.07721710205078
2018-01-22,355.88751220703125,608.2517700195312,,146.09780883789062,63.46450424194336,95.32748413085938,920.4954223632812,340.234375,57.95237731933594,1604.3807373046875,1068.5096435546875,163.30210876464844,282.81268310546875,121.21356964111328
2018-01-23,353.8019104003906,616.7556762695312,,153.5001983642578,65.48411560058594,96.8756103515625,914.845947265625,350.6882019042969,58.098846435546875,1642.650634765625,1069.8525390625,172.3950653076172,293.5161437988281,125.2727279663086
2018-01-24,347.5203857421875,604.6712036132812,,158.11009216308594,66.31468200683594,96.8756103515625,917.822998046875,341.4443664550781,57.7570915222168,1636.884033203125,1074.4783935546875,180.6065673828125,304.4042053222656,128.59776306152344
2018-01-25,339.77398681640625,612.7772216796875,,148.1811065673828,63.18473434448242,94.90526580810547,925.9338989257812,349.2363586425781,56.82946014404297,1649.179931640625,1086.664794921875,167.8485870361328,288.9486999511719,122.42266082763672
2018-01-29,341.8843994140625,602.2841186523438,,143.9258270263672,60.42198944091797,94.52995300292969,937.5142822265625,346.187255859375,56.585350036621094,1660.90380859375,1109.2962646484375,161.39999389648438,287.9798583984375,118.92488098144531
2018-01-30,337.31597900390625,590.5477905273438,,142.0198211669922,61.095191955566406,94.4361343383789,935.5685424804688,341.9283447265625,55.75536346435547,1654.7559814453125,1082.3870849609375,160.19381713867188,289.3177490234375,117.54302978515625
2018-01-31,326.0191345214844,590.3985595703125,,139.00567626953125,59.687591552734375,94.24848175048828,940.3507690429688,341.637939453125,55.46242904663086,1671.0074462890625,1103.1783447265625,158.98760986328125,289.0409851074219,117.67257690429688
