Date,equity_net
2023-04-03,1000000.0
2023-04-04,1000000.0
2023-04-05,1000000.0
2023-04-06,1000000.0
2023-04-07,1000000.0
2023-04-08,1000000.0
2023-04-09,1000000.0
2023-04-10,1000000.0
2023-04-11,1000000.0
2023-04-12,1000000.0
2023-04-13,1000000.0
2023-04-14,1000000.0
2023-04-15,1000000.0
2023-04-16,1000000.0
2023-04-17,1000000.0
2023-04-18,1000000.0
2023-04-19,1000000.0
2023-04-20,1000000.0
2023-04-21,1000000.0
2023-04-22,1000000.0
2023-04-23,1000000.0
2023-04-24,1000000.0
2023-04-25,1000000.0
2023-04-26,1000000.0
2023-04-27,1000000.0
2023-04-28,1000000.0
2023-04-29,1000000.0
2023-04-30,1000000.0
2023-05-01,1000000.0
2023-05-02,1000000.0
2023-05-03,1000000.0
2023-05-04,1000000.0
2023-05-05,1000000.0
2023-05-06,1000000.0
2023-05-07,1000000.0
2023-05-08,1000000.0
2023-05-09,1000000.0
2023-05-10,1000000.0
2023-05-11,1000000.0
2023-05-12,1000000.0
2023-05-13,1000000.0
2023-05-14,1000000.0
2023-05-15,1000000.0
2023-05-16,1000000.0
2023-05-17,1000000.0
2023-05-18,1000000.0
2023-05-19,1000000.0
2023-05-20,1000000.0
2023-05-21,1000000.0
2023-05-22,1000000.0
2023-05-23,1000000.0
2023-05-24,1000000.0
2023-05-25,1000000.0
2023-05-26,1000000.0
2023-05-27,1000000.0
2023-05-28,1000000.0
2023-05-29,1000000.0
2023-05-30,1000000.0
2023-05-31,1000000.0
2023-06-01,999831.1948
2023-06-02,999766.2141900619
2023-06-03,999766.2141900619
2023-06-04,999766.2141900619
2023-06-05,1001149.3074988201
2023-06-06,1000516.4555340349
2023-06-07,1000305.5570500763
2023-06-08,1001130.9222800588
2023-06-09,1001174.9338907143
2023-06-10,1001174.9338907143
2023-06-11,1001174.9338907143
2023-06-12,1000173.9822102388
2023-06-13,999255.8668869265
2023-06-14,999534.4623480673
2023-06-15,996997.9667747243
2023-06-16,997230.0415912129
2023-06-17,997230.0415912129
2023-06-18,997201.9073912129
2023-06-19,997731.2511335205
2023-06-20,997590.5463607113
2023-06-21,999125.1981197805
2023-06-22,1000163.2385991707
2023-06-23,997115.1732891755
2023-06-24,997115.1732891755
2023-06-25,997115.1732891755
2023-06-26,997261.1791796454
2023-06-27,997745.7111560977
2023-06-28,997511.0614923117
2023-06-29,997511.0614923117
2023-06-30,997357.6608127445
2023-07-01,997357.6608127445
2023-07-02,997357.6608127445
2023-07-03,999586.6840110407
2023-07-04,1001036.1904342329
2023-07-05,1001093.498908761
2023-07-06,1001184.2133968591
2023-07-07,1002007.4702235542
2023-07-08,1002007.4702235542
2023-07-09,1001979.3360235541
2023-07-10,1002140.372622318
2023-07-11,1000105.6132961625
2023-07-12,999382.2352719483
2023-07-13,1001844.2553146996
2023-07-14,1002251.4705273217
