Date,equity_gross
2023-04-03,1000000.0
2023-04-04,1000000.0
2023-04-05,1000000.0
2023-04-06,1000000.0
2023-04-07,1000000.0
2023-04-08,1000000.0
2023-04-09,1000000.0
2023-04-10,1000000.0
2023-04-11,1000000.0
2023-04-12,1000000.0
2023-04-13,1000000.0
2023-04-14,1000000.0
2023-04-15,1000000.0
2023-04-16,1000000.0
2023-04-17,1000000.0
2023-04-18,1000000.0
2023-04-19,1000000.0
2023-04-20,1000000.0
2023-04-21,1000000.0
2023-04-22,1000000.0
2023-04-23,1000000.0
2023-04-24,1000000.0
2023-04-25,1000000.0
2023-04-26,1000000.0
2023-04-27,1000000.0
2023-04-28,1000000.0
2023-04-29,1000000.0
2023-04-30,1000000.0
2023-05-01,1000000.0
2023-05-02,1000000.0
2023-05-03,1000000.0
2023-05-04,1000000.0
2023-05-05,1000000.0
2023-05-06,1000000.0
2023-05-07,1000000.0
2023-05-08,1000000.0
2023-05-09,1000000.0
2023-05-10,1000000.0
2023-05-11,1000000.0
2023-05-12,1000000.0
2023-05-13,1000000.0
2023-05-14,1000000.0
2023-05-15,1000000.0
2023-05-16,1000000.0
2023-05-17,1000000.0
2023-05-18,1000000.0
2023-05-19,1000000.0
2023-05-20,1000000.0
2023-05-21,1000000.0
2023-05-22,1000000.0
2023-05-23,1000000.0
2023-05-24,1000000.0
2023-05-25,1000000.0
2023-05-26,1000000.0
2023-05-27,1000000.0
2023-05-28,1000000.0
2023-05-29,1000000.0
2023-05-30,1000000.0
2023-05-31,1000000.0
2023-06-01,1000000.0
2023-06-02,999935.019390062
2023-06-03,999935.019390062
2023-06-04,999935.019390062
2023-06-05,1001318.1126988201
2023-06-06,1000685.2607340348
2023-06-07,1000530.6306500763
2023-06-08,1001355.9958800589
2023-06-09,1001400.0074907143
2023-06-10,1001400.0074907143
2023-06-11,1001400.0074907143
2023-06-12,1000399.0558102388
2023-06-13,999480.9404869265
2023-06-14,999787.6701480673
2023-06-15,997307.4429747243
2023-06-16,997567.6519912129
2023-06-17,997567.6519912129
2023-06-18,997567.6519912129
2023-06-19,998125.1299335205
2023-06-20,997984.4251607113
2023-06-21,999575.3453197805
2023-06-22,1000641.5199991707
2023-06-23,997621.5888891756
2023-06-24,997621.5888891756
2023-06-25,997621.5888891756
2023-06-26,997767.5947796453
2023-06-27,998252.1267560978
2023-06-28,998017.4770923117
2023-06-29,998017.4770923117
2023-06-30,997892.2106127446
2023-07-01,997892.2106127446
2023-07-02,997892.2106127446
2023-07-03,1000149.3680110407
2023-07-04,1001598.874434233
2023-07-05,1001712.451308761
2023-07-06,1001803.1657968592
2023-07-07,1002626.4226235541
2023-07-08,1002626.4226235541
2023-07-09,1002626.4226235541
2023-07-10,1002843.727622318
2023-07-11,1000837.1024961624
2023-07-12,1000141.8586719483
2023-07-13,1002632.0129146996
2023-07-14,1003123.6307273217
