Date,pnl_net
2023-04-03,0.0
2023-04-04,0.0
2023-04-05,0.0
2023-04-06,0.0
2023-04-07,0.0
2023-04-08,0.0
2023-04-09,0.0
2023-04-10,0.0
2023-04-11,0.0
2023-04-12,0.0
2023-04-13,0.0
2023-04-14,0.0
2023-04-15,0.0
2023-04-16,0.0
2023-04-17,0.0
2023-04-18,0.0
2023-04-19,0.0
2023-04-20,0.0
2023-04-21,0.0
2023-04-22,0.0
2023-04-23,0.0
2023-04-24,0.0
2023-04-25,0.0
2023-04-26,0.0
2023-04-27,0.0
2023-04-28,0.0
2023-04-29,0.0
2023-04-30,0.0
2023-05-01,0.0
2023-05-02,0.0
2023-05-03,0.0
2023-05-04,0.0
2023-05-05,0.0
2023-05-06,0.0
2023-05-07,0.0
2023-05-08,0.0
2023-05-09,0.0
2023-05-10,0.0
2023-05-11,0.0
2023-05-12,0.0
2023-05-13,0.0
2023-05-14,0.0
2023-05-15,0.0
2023-05-16,0.0
2023-05-17,0.0
2023-05-18,0.0
2023-05-19,0.0
2023-05-20,0.0
2023-05-21,0.0
2023-05-22,0.0
2023-05-23,0.0
2023-05-24,0.0
2023-05-25,0.0
2023-05-26,0.0
2023-05-27,0.0
2023-05-28,0.0
2023-05-29,0.0
2023-05-30,0.0
2023-05-31,0.0
2023-06-01,-168.80519999999999
2023-06-02,-64.98060993805902
2023-06-03,0.0
2023-06-04,0.0
2023-06-05,1383.0933087581632
2023-06-06,-632.8519647852793
2023-06-07,-210.89848395848912
2023-06-08,825.3652299824731
2023-06-09,44.011610655474456
2023-06-10,0.0
2023-06-11,0.0
2023-06-12,-1000.9516804755015
2023-06-13,-918.1153233122762
2023-06-14,278.5954611408077
2023-06-15,-2536.4955733429947
2023-06-16,232.07481648852846
2023-06-17,0.0
2023-06-18,-28.1342
2023-06-19,529.3437423076181
2023-06-20,-140.70477280914372
2023-06-21,1534.6517590691558
2023-06-22,1038.0404793902192
2023-06-23,-3048.065309995171
2023-06-24,0.0
2023-06-25,0.0
2023-06-26,146.00589046982694
2023-06-27,484.53197645240687
2023-06-28,-234.64966378607068
2023-06-29,0.0
2023-06-30,-153.40067956714762
2023-07-01,0.0
2023-07-02,0.0
2023-07-03,2229.023198296177
2023-07-04,1449.5064231922038
2023-07-05,57.308474528049786
2023-07-06,90.7144880981736
2023-07-07,823.2568266950003
2023-07-08,0.0
2023-07-09,-28.1342
2023-07-10,161.0365987638409
2023-07-11,-2034.7593261555699
2023-07-12,-723.3780242140912
2023-07-13,2462.020042751279
2023-07-14,407.2152126220871
2023-07-15,0.0
2023-07-16,0.0
2023-07-17,2437.030735171125
2023-07-18,-327.45538866470815
2023-07-19,1089.3853967749178
2023-07-20,817.0706402352274
2023-07-21,-125.33124515897313
2023-07-22,0.0
2023-07-23,0.0
2023-07-24,-2070.1016573694237
2023-07-25,4235.205928794571
2023-07-26,122.61226381471221
2023-07-27,-828.560207121674
2023-07-28,63.47731288623781
2023-07-29,0.0
2023-07-30,0.0
2023-07-31,-1649.1366364946903
2023-08-01,976.8673198803862
2023-08-02,-801.1534842027323
