Date,pnl_gross
2021-04-01,0.0
2021-04-02,0.0
2021-04-03,0.0
2021-04-04,0.0
2021-04-05,0.0
2021-04-06,0.0
2021-04-07,0.0
2021-04-08,0.0
2021-04-09,0.0
2021-04-10,0.0
2021-04-11,0.0
2021-04-12,0.0
2021-04-13,0.0
2021-04-14,0.0
2021-04-15,0.0
2021-04-16,0.0
2021-04-17,0.0
2021-04-18,0.0
2021-04-19,0.0
2021-04-20,0.0
2021-04-21,0.0
2021-04-22,0.0
2021-04-23,0.0
2021-04-24,0.0
2021-04-25,0.0
2021-04-26,0.0
2021-04-27,0.0
2021-04-28,0.0
2021-04-29,0.0
2021-04-30,0.0
2021-05-01,0.0
2021-05-02,0.0
2021-05-03,0.0
2021-05-04,0.0
2021-05-05,0.0
2021-05-06,0.0
2021-05-07,0.0
2021-05-08,0.0
2021-05-09,0.0
2021-05-10,0.0
2021-05-11,0.0
2021-05-12,0.0
2021-05-13,0.0
2021-05-14,0.0
2021-05-15,0.0
2021-05-16,0.0
2021-05-17,0.0
2021-05-18,0.0
2021-05-19,0.0
2021-05-20,0.0
2021-05-21,0.0
2021-05-22,0.0
2021-05-23,0.0
2021-05-24,0.0
2021-05-25,0.0
2021-05-26,0.0
2021-05-27,0.0
2021-05-28,0.0
2021-05-29,0.0
2021-05-30,0.0
2021-05-31,-471.50343613092
2021-06-01,-154.3996026504102
2021-06-02,-425.9118450378696
2021-06-03,65.55074492534897
2021-06-04,254.632642925392
2021-06-05,0.0
2021-06-06,0.0
2021-06-07,-1276.4978520476532
2021-06-08,1428.616609798563
2021-06-09,1738.8670202747235
2021-06-10,1065.9045435690518
2021-06-11,-2419.197482817726
2021-06-12,0.0
2021-06-13,0.0
2021-06-14,-2955.823887291102
2021-06-15,892.5672926326113
2021-06-16,-311.30108025388296
2021-06-17,-5277.527602191314
2021-06-18,286.2941769687111
2021-06-19,0.0
2021-06-20,0.0
2021-06-21,1914.8060624240013
2021-06-22,-1672.1317028946992
2021-06-23,1610.8135008552304
2021-06-24,-4119.602788099796
2021-06-25,5427.627121716104
2021-06-26,0.0
2021-06-27,0.0
2021-06-28,943.3372902144188
2021-06-29,-1288.6929622564437
2021-06-30,-2235.701759574822
2021-07-01,1167.608627973018
2021-07-02,1857.993310699666
2021-07-03,0.0
2021-07-04,0.0
2021-07-05,1857.5293865589201
2021-07-06,4113.80373665371
2021-07-07,237.03300618493466
2021-07-08,-1581.887981593983
2021-07-09,479.51601959525186
2021-07-10,0.0
2021-07-11,0.0
2021-07-12,1764.8645833705646
2021-07-13,1701.6225804282149
2021-07-14,-2614.4546267846454
2021-07-15,-639.7002520106819
2021-07-16,3205.0238511908206
2021-07-17,0.0
2021-07-18,0.0
2021-07-19,12.303490133831517
2021-07-20,-2131.7533508601464
2021-07-21,0.0
2021-07-22,-1824.0864285999492
2021-07-23,1781.5204200267078
2021-07-24,0.0
2021-07-25,0.0
2021-07-26,-2372.972688447217
2021-07-27,-362.12233424778975
2021-07-28,-492.41511176226334
2021-07-29,303.45642840313485
2021-07-30,-646.9080737378864
2021-07-31,0.0
2021-08-01,0.0
2021-08-02,-53.1138618328496
2021-08-03,-361.4785423455968
2021-08-04,1697.3997521319495
2021-08-05,1403.6806204674199
2021-08-06,-1176.7945398071
2021-08-07,0.0
2021-08-08,0.0
2021-08-09,-780.4490948510968
2021-08-10,-1877.829099322619
2021-08-11,1010.3276185866306
2021-08-12,-1751.0723459994401
2021-08-13,-187.77809627090303
2021-08-14,0.0
2021-08-15,0.0
2021-08-16,1003.7002958661745
2021-08-17,-5991.713655948031
2021-08-18,299.34312880521617
2021-08-19,0.0
2021-08-20,-792.3446019624159
2021-08-21,0.0
2021-08-22,0.0
2021-08-23,-3680.1758688348054
2021-08-24,5842.3609202404905
2021-08-25,-4388.463459097329
2021-08-26,-2632.8245898113514
2021-08-27,916.2438094321825
2021-08-28,0.0
2021-08-29,0.0
2021-08-30,6882.505277883161
2021-08-31,34.37786636171654
2021-09-01,3893.283565048409
2021-09-02,-5130.361534247185
2021-09-03,-2081.5351383170077
2021-09-04,0.0
2021-09-05,0.0
2021-09-06,-889.7604977590603
2021-09-07,1773.0308403151844
2021-09-08,1789.7882967631706
2021-09-09,750.568387724313
2021-09-10,0.0
2021-09-11,0.0
2021-09-12,0.0
2021-09-13,-991.4656881634755
2021-09-14,-871.616501572625
2021-09-15,201.30138119561542
2021-09-16,6662.957807721457
2021-09-17,3158.4094814349937
2021-09-18,0.0
2021-09-19,0.0
2021-09-20,-1905.060870695574
2021-09-21,349.19714887601936
2021-09-22,-1278.8734100011357
2021-09-23,2830.8224771572595
2021-09-24,-1124.7540480942275
2021-09-25,0.0
2021-09-26,0.0
2021-09-27,724.2249889365303
2021-09-28,-336.0102859172208
2021-09-29,2164.837347309467
2021-09-30,-991.1203825194993
2021-10-01,-654.7632002880821
2021-10-02,0.0
2021-10-03,0.0
2021-10-04,-188.16044998357648
2021-10-05,-2824.6174471742365
2021-10-06,887.9504230643184
2021-10-07,427.5431415643416
2021-10-08,-4468.561995837028
2021-10-09,0.0
2021-10-10,0.0
2021-10-11,1945.9552419427187
2021-10-12,-679.7204989871152
2021-10-13,-144.01354244002465
2021-10-14,1748.0962134402114
2021-10-15,0.0
2021-10-16,0.0
2021-10-17,0.0
2021-10-18,3361.80807629787
2021-10-19,-2409.1995658584306
2021-10-20,2097.5414922362256
2021-10-21,2735.846533060131
2021-10-22,-1259.1661721293804
2021-10-23,0.0
2021-10-24,0.0
2021-10-25,-2007.063088743797
2021-10-26,-1881.0211893162495
2021-10-27,2286.999546978179
2021-10-28,1062.5811441990309
2021-10-29,1359.8550412796985
2021-10-30,0.0
