Date,equity_net
2016-04-28,100000.0
2016-04-29,100000.0
2016-04-30,100000.0
2016-05-01,100000.0
2016-05-02,100000.0
2016-05-03,100000.0
2016-05-04,100000.0
2016-05-05,100000.0
2016-05-06,100000.0
2016-05-07,100000.0
2016-05-08,100000.0
2016-05-09,100000.0
2016-05-10,100000.0
2016-05-11,100000.0
2016-05-12,100000.0
2016-05-13,100000.0
2016-05-14,100000.0
2016-05-15,100000.0
2016-05-16,100000.0
2016-05-17,100000.0
2016-05-18,100000.0
2016-05-19,100000.0
2016-05-20,100000.0
2016-05-21,100000.0
2016-05-22,100000.0
2016-05-23,100000.0
2016-05-24,100000.0
2016-05-25,100000.0
2016-05-26,100000.0
2016-05-27,100000.0
2016-05-28,100000.0
2016-05-29,100000.0
2016-05-30,100000.0
2016-05-31,100000.0
2016-06-01,100000.0
2016-06-02,100000.0
2016-06-03,100000.0
2016-06-04,100000.0
2016-06-05,100000.0
2016-06-06,100000.0
2016-06-07,100000.0
2016-06-08,100000.0
2016-06-09,100000.0
2016-06-10,100000.0
2016-06-11,100000.0
2016-06-12,100000.0
2016-06-13,100000.0
2016-06-14,100000.0
2016-06-15,100000.0
2016-06-16,100000.0
2016-06-17,100000.0
2016-06-18,100000.0
2016-06-19,100000.0
2016-06-20,100000.0
2016-06-21,100000.0
2016-06-22,100000.0
2016-06-23,100000.0
2016-06-24,100000.0
2016-06-25,100000.0
2016-06-26,100000.0
2016-06-27,99887.4632
2016-06-28,99157.56996388746
2016-06-29,100947.192307162
2016-06-30,101116.60778515681
2016-07-01,100598.4771289781
2016-07-02,100570.3429289781
2016-07-03,100570.3429289781
2016-07-04,101301.555139726
2016-07-05,101185.34471504603
2016-07-06,101185.34471504603
2016-07-07,100878.63364566397
2016-07-08,102006.12783448304
2016-07-09,102006.12783448304
2016-07-10,102006.12783448304
2016-07-11,101192.95999440874
2016-07-12,101080.42319440875
2016-07-13,101687.75359805158
2016-07-14,101134.16878502312
2016-07-15,100373.10439258916
2016-07-16,100316.83599258917
2016-07-17,100288.70179258917
2016-07-18,101020.7193386591
2016-07-19,100626.75816104253
2016-07-20,100221.7411754049
2016-07-21,101148.68017225633
2016-07-22,100333.53511082123
2016-07-23,100333.53511082123
2016-07-24,100249.13251082123
2016-07-25,100087.08603994553
2016-07-26,100604.27461061331
2016-07-27,100491.73781061331
2016-07-28,100923.40608491603
2016-07-29,100827.13654623798
2016-07-30,100799.00234623798
2016-07-31,100799.00234623798
2016-08-01,100191.4590469527
2016-08-02,100497.56565026095
2016-08-03,100621.36657523988
2016-08-04,100230.82755892834
2016-08-05,100793.87451191079
2016-08-06,100793.87451191079
2016-08-07,100793.87451191079
2016-08-08,100731.34538512463
2016-08-09,100721.64310408749
2016-08-10,100882.9403978194
2016-08-11,101510.54392190599
2016-08-12,101341.73872190599
2016-08-13,101313.60452190599
2016-08-14,101313.60452190599
2016-08-15,101285.47032190599
2016-08-16,100179.82045539579
2016-08-17,100239.04336322608
2016-08-18,100249.87433218597
2016-08-19,99257.08321825639
2016-08-20,99228.94901825639
2016-08-21,99228.94901825639
2016-08-22,99781.99849529468
2016-08-23,99543.85204916132
2016-08-24,99706.238814076
2016-08-25,100421.0864125596
2016-08-26,100421.0864125596
2016-08-27,100421.0864125596
2016-08-28,100421.0864125596
2016-08-29,100392.9522125596
2016-08-30,100579.69372684893
2016-08-31,100885.35050371572
2016-09-01,100885.35050371572
2016-09-02,100829.08210371571
2016-09-03,100829.08210371571
2016-09-04,100829.08210371571
2016-09-05,100829.08210371571
2016-09-06,100844.19573254818
2016-09-07,100897.47475390366
2016-09-08,100245.97856761639
2016-09-09,102444.25640570991
2016-09-10,102416.12220570992
2016-09-11,102416.12220570992
2016-09-12,104411.73372598882
2016-09-13,104411.73372598882
2016-09-14,104374.51382099839
2016-09-15,103898.02349217389
2016-09-16,103970.43998859152
2016-09-17,103970.43998859152
2016-09-18,103970.43998859152
2016-09-19,103942.30578859152
2016-09-20,103918.8791655589
2016-09-21,103862.6107655589
2016-09-22,103588.43100581967
2016-09-23,102935.07717925611
2016-09-24,102906.94297925611
2016-09-25,102906.94297925611
2016-09-26,102227.06270034143
2016-09-27,101755.24049443712
2016-09-28,101859.7348894786
2016-09-29,102208.80760936448
2016-09-30,102180.67340936448
2016-10-01,102180.67340936448
2016-10-02,102180.67340936448
2016-10-03,102130.20721476687
2016-10-04,101879.538277419
2016-10-05,101670.11879881102
2016-10-06,101663.10120206542
2016-10-07,101532.69271150476
2016-10-08,101476.42431150476
2016-10-09,101448.29011150476
2016-10-10,101991.97380212492
2016-10-11,101991.97380212492
2016-10-12,101991.97380212492
2016-10-13,101935.70540212492
2016-10-14,102966.56221924745
2016-10-15,102966.56221924745
2016-10-16,102966.56221924745
2016-10-17,102966.56221924745
2016-10-18,102938.42801924745
2016-10-19,103310.3243370354
2016-10-20,103197.7875370354
2016-10-21,104113.20963435914
2016-10-22,104085.07543435914
2016-10-23,104085.07543435914
2016-10-24,103585.11344462853
2016-10-25,101767.94030051175
2016-10-26,102229.66426267661
2016-10-27,101727.30353726982
2016-10-28,103906.18378549287
2016-10-29,103878.04958549287
2016-10-30,103878.04958549287
2016-10-31,103849.91538549287
2016-11-01,103793.64698549287
2016-11-02,104230.40472496237
2016-11-03,104437.82426502762
2016-11-04,103736.88888132706
2016-11-05,103736.88888132706
2016-11-06,103680.62048132706
2016-11-07,102679.4036529063
2016-11-08,102716.8551157348
2016-11-09,99709.76998224037
2016-11-10,95315.94749959248
2016-11-11,95775.45305548755
2016-11-12,95747.31885548755
2016-11-13,95719.18465548755
2016-11-14,95494.11105548755
2016-11-15,97995.75751570759
2016-11-16,103767.64421133579
2016-11-17,103021.30374871581
2016-11-18,103098.44779824516
2016-11-19,103042.17939824516
2016-11-20,103014.04519824516
2016-11-21,107582.53993946967
2016-11-22,107449.88780644524
2016-11-23,107403.32983601165
2016-11-24,107347.06143601165
2016-11-25,107694.46549950102
2016-11-26,107694.46549950102
2016-11-27,107694.46549950102
2016-11-28,107666.33129950102
2016-11-29,107796.86689322173
2016-11-30,107996.98515546968
2016-12-01,107996.98515546968
2016-12-02,107996.98515546968
2016-12-03,107996.98515546968
2016-12-04,107996.98515546968
2016-12-05,107996.98515546968
2016-12-06,107996.98515546968
2016-12-07,107996.98515546968
2016-12-08,107996.98515546968
2016-12-09,107996.98515546968
2016-12-10,107996.98515546968
2016-12-11,107996.98515546968
2016-12-12,107996.98515546968
2016-12-13,107996.98515546968
2016-12-14,107968.85095546968
2016-12-15,108107.80435174744
2016-12-16,108068.65264438392
2016-12-17,108068.65264438392
2016-12-18,108040.51844438392
2016-12-19,107982.8690863454
2016-12-20,108052.50280944337
2016-12-21,108787.3642492508
2016-12-22,109218.4571485018
2016-12-23,109056.48452533886
2016-12-24,109056.48452533886
2016-12-25,109028.35032533886
2016-12-26,109028.35032533886
2016-12-27,109000.21612533886
2016-12-28,108738.60040583262
2016-12-29,108612.11172406646
2016-12-30,108757.62434808962
2016-12-31,108757.62434808962
2017-01-01,108757.62434808962
