open_date,close_date,pair,side,entry_z,exit_z,hold_days,t1,t2,entry_price1,entry_price2,exit_price1,exit_price2,qty1,qty2,pnl,equity_after,reason_close
2018-04-02,2018-04-13,ICICIBANK.NS-SBIN.NS,1,-1.7026881353490115,-0.255234754712925,11,ICICIBANK.NS,SBIN.NS,253.4576568603516,227.12667846679688,279.0115661621094,231.55572509765625,39.45432197185399,-44.02829323047524,813.2088014361813,813.2088014361813,mean_revert
2018-04-02,2018-04-23,HDFCBANK.NS-PNB.NS,-1,2.012622608791667,1.5159026773282684,21,HDFCBANK.NS,PNB.NS,905.4221801757812,89.35224151611328,907.555419921875,87.31096649169922,-11.044571492669387,111.91661037621151,-252.0133004647766,561.1955009714047,max_holding
2018-04-02,2018-04-23,HDFCBANK.NS-SBIN.NS,-1,2.5248337581018574,1.8433737579139449,21,HDFCBANK.NS,SBIN.NS,905.4221801757812,227.12667846679688,907.555419921875,223.712646484375,-11.044571492669387,44.02829323047524,-173.87472010702731,387.3207808643774,max_holding
2018-04-13,2018-05-03,HDFCBANK.NS-ICICIBANK.NS,-1,1.5305789843053168,1.704266570158052,20,HDFCBANK.NS,ICICIBANK.NS,902.515380859375,279.0115661621094,922.628662109375,272.8650817871094,-11.080143576587028,35.84080809822009,-443.15301100935903,-55.83223014498162,max_holding
2018-04-23,2018-05-14,HDFCBANK.NS-SBIN.NS,-1,1.8433737579139449,1.9876943186181621,21,HDFCBANK.NS,SBIN.NS,907.555419921875,223.712646484375,947.8756713867188,234.00094604492188,-11.018610853385493,44.70019981949675,15.615885757526314,-40.21634438745531,max_holding
2018-04-23,2018-05-14,HDFCBANK.NS-PNB.NS,-1,1.5159026773282684,2.3803179550338576,21,HDFCBANK.NS,PNB.NS,907.555419921875,87.31096649169922,947.8756713867188,82.85726928710938,-11.018610853385493,114.5331497498738,-954.3691292756425,-994.5854736630979,max_holding
2018-05-08,2018-05-21,ICICIBANK.NS-SBIN.NS,-1,2.05939431626171,0.2801372801887327,13,ICICIBANK.NS,SBIN.NS,299.386962890625,230.7252960205078,280.02789306640625,225.5580902099609,-33.40158804327528,43.3415848737763,422.6687859714677,-571.9166876916302,mean_revert
2018-05-08,2018-05-28,ICICIBANK.NS-PNB.NS,-1,1.9886750762656764,0.9899390335164211,20,ICICIBANK.NS,PNB.NS,299.386962890625,85.965576171875,289.65899658203125,82.30055236816406,-33.40158804327528,116.32563225082714,-101.4066880424964,-673.3233757341266,max_holding
2018-05-14,2018-06-04,PNB.NS-SBIN.NS,1,-1.6507507392490126,-1.7889146612785587,21,PNB.NS,SBIN.NS,82.85726928710938,234.00094604492188,77.19735717773438,242.6744842529297,120.68947101489576,-42.73486996108242,-1053.7543258929652,-1727.0777016270918,max_holding
2018-05-14,2018-06-04,HDFCBANK.NS-SBIN.NS,-1,1.9876943186181621,1.363482022995333,21,HDFCBANK.NS,SBIN.NS,947.8756713867188,234.00094604492188,965.4661254882812,242.6744842529297,-10.549906809371155,42.73486996108242,185.08487591568874,-1541.992825711403,max_holding
