Date,HDFCBANK.NS,ICICIBANK.NS,PNB.NS,SBIN.NS
2018-01-01,869.4623413085938,300.3548278808594,157.50303649902344,283.3663024902344
2018-01-02,877.8311157226562,299.7741394042969,154.39471435546875,279.8138122558594
2018-01-03,868.5949096679688,304.9042053222656,154.58029174804688,279.4447326660156
2018-01-04,871.9940795898438,304.6138916015625,163.71963500976562,284.6580810546875
2018-01-05,873.7286987304688,302.87152099609375,163.3021240234375,282.6742248535156
2018-01-08,872.3222045898438,304.0814514160156,163.0237579345703,282.1667175292969
2018-01-09,873.7755126953125,302.5811462402344,162.0495147705078,280.78265380859375
2018-01-10,874.0099487304688,302.0003967285156,158.3380889892578,277.8299560546875
2018-01-11,877.9248046875,299.58050537109375,160.28659057617188,278.8449401855469
2018-01-12,874.5256958007812,307.5176696777344,161.63197326660156,278.8910827636719
2018-01-15,889.739501953125,318.7458801269531,159.72987365722656,279.2140808105469
2018-01-16,890.8648071289062,323.3920593261719,153.60604858398438,273.26251220703125
2018-01-17,886.340576171875,332.24884033203125,162.88458251953125,283.3663024902344
2018-01-18,906.8756713867188,335.05584716796875,158.1989288330078,279.8138122558594
2018-01-19,915.267822265625,342.26708984375,163.67324829101562,285.35009765625
2018-01-22,920.495361328125,340.2344055175781,163.3021240234375,282.8126220703125
2018-01-23,914.845947265625,350.6882629394531,172.3950653076172,293.5161437988281
2018-01-24,917.8230590820312,341.4443054199219,180.60655212402344,304.4042053222656
2018-01-25,925.9338989257812,349.2362976074219,167.84857177734375,288.9486999511719
2018-01-29,937.5142822265625,346.1872863769531,161.40000915527344,287.9798583984375
2018-01-30,935.568603515625,341.92828369140625,160.1938018798828,289.3177795410156
2018-01-31,940.3506469726562,341.6379089355469,158.98760986328125,289.04095458984375
2018-02-01,933.5291137695312,335.104248046875,155.46176147460938,282.39739990234375
2018-02-02,913.2987060546875,324.3600158691406,150.17300415039062,274.3697509765625
2018-02-05,897.287841796875,319.1330871582031,151.8895263671875,275.01568603515625
2018-02-06,889.2942504882812,320.10101318359375,149.4307098388672,269.20257568359375
2018-02-07,878.0421142578125,321.8917236328125,145.25538635253906,270.17138671875
2018-02-08,881.8629760742188,323.15008544921875,147.85336303710938,278.1067810058594
2018-02-09,867.1180419921875,316.2776184082031,145.48733520507812,273.4931945800781
2018-02-12,879.8471069335938,315.79364013671875,149.9874267578125,266.4344177246094
2018-02-14,882.8945922851562,308.7276611328125,135.3273468017578,254.85430908203125
2018-02-15,882.3084716796875,318.1167297363281,118.99713134765625,257.1611633300781
2018-02-16,880.7613525390625,310.76031494140625,116.49193572998047,250.65594482421875
2018-02-19,880.57373046875,309.5019836425781,108.09486389160156,247.74940490722656
2018-02-20,873.5411987304688,307.0821228027344,108.1412582397461,248.81053161621094
2018-02-21,870.8219604492188,308.9696044921875,108.83715057373047,252.17845153808594
2018-02-22,868.8527221679688,308.1468505859375,106.33193969726562,251.5325469970703
2018-02-23,881.6754760742188,312.40582275390625,105.26490783691406,254.71591186523438
2018-02-26,896.2095336914062,316.5680236816406,103.91951751708984,253.23959350585938
2018-02-27,891.9900512695312,311.8250732421875,91.25434112548828,246.91896057128906
2018-02-28,883.3867797851562,303.2103271484375,94.08428192138672,247.2880401611328
2018-03-01,878.7686157226562,295.1763610839844,93.75953674316406,241.89015197753906
2018-03-05,876.7058715820312,293.6275939941406,92.87808227539062,243.1358184814453
2018-03-06,865.5943603515625,285.5936279296875,90.7904052734375,236.72293090820312
2018-03-07,859.1947021484375,277.51129150390625,88.60995483398438,227.58804321289062
2018-03-08,868.6886596679688,287.4327087402344,89.67698669433594,236.95361328125
2018-03-09,867.8448486328125,283.31890869140625,88.7027359008789,233.67799377441406
2018-03-12,875.43994140625,291.0141296386719,87.77488708496094,233.3089141845703
2018-03-13,872.1580810546875,294.5955810546875,90.88318634033203,235.01589965820312
2018-03-14,874.150634765625,296.24102783203125,92.13579559326172,237.18431091308594
2018-03-15,881.7928466796875,291.7885437011719,91.43990325927734,234.09320068359375
2018-03-16,868.7589721679688,288.5458679199219,91.71826171875,232.80140686035156
2018-03-19,866.0631713867188,285.1096496582031,89.58419799804688,228.78758239746094
2018-03-20,862.4296875,282.641357421875,89.862548828125,229.84872436523438
2018-03-21,871.525146484375,279.9311218261719,90.55844116210938,228.83370971679688
2018-03-22,875.6744384765625,274.1718444824219,89.58419799804688,222.8822021484375
2018-03-23,863.3908081054688,266.7186279296875,86.42950439453125,216.65386962890625
2018-03-26,887.7235717773438,272.62310791015625,88.88831329345703,227.44964599609375
2018-03-27,887.3250122070312,274.8009948730469,92.27497100830078,234.69297790527344
2018-03-28,884.277587890625,269.4288635253906,88.42438507080078,230.5868682861328
2018-04-02,905.4221801757812,253.45765686035156,89.35224151611328,227.12667846679688
2018-04-03,898.2489013671875,261.3948974609375,88.56356811523438,231.1405029296875
2018-04-04,882.94140625,260.0397644042969,87.58931732177734,228.18783569335938
2018-04-05,894.9671630859375,269.7192077636719,90.0017318725586,239.26039123535156
2018-04-06,901.765380859375,271.6551513671875,94.7801742553711,239.6295166015625
2018-04-09,909.1026611328125,271.8487854003906,97.65652465820312,240.50607299804688
2018-04-10,900.5697631835938,279.5439453125,97.6101303100586,242.95126342773438
2018-04-11,899.632080078125,275.43011474609375,94.82656860351562,237.18431091308594
2018-04-12,904.2970581054688,277.5596618652344,93.94511413574219,234.1854705810547
2018-04-13,902.515380859375,279.0115661621094,93.99150848388672,231.55572509765625
2018-04-16,910.5325927734375,278.38238525390625,91.99662017822266,229.75645446777344
2018-04-17,913.533203125,282.3994140625,90.88318634033203,228.97210693359375
2018-04-18,906.07861328125,280.7538757324219,90.14091491699219,227.4034881591797
2018-04-19,909.0791625976562,280.3182678222656,89.16666412353516,227.12667846679688
2018-04-20,917.0025634765625,273.1070556640625,86.84703063964844,222.5592498779297
2018-04-23,907.555419921875,270.4451904296875,87.31096649169922,223.712646484375
2018-04-24,907.203857421875,274.99456787109375,86.42950439453125,222.00563049316406
2018-04-25,900.5228881835938,269.96124267578125,85.64083099365234,218.86839294433594
2018-04-26,904.9769287109375,269.912841796875,84.43460845947266,215.17750549316406
2018-04-27,901.765380859375,278.67279052734375,86.66146087646484,223.85104370117188
2018-04-30,911.5640869140625,275.0913391113281,88.51716613769531,227.35736083984375
2018-05-02,923.3787841796875,268.0253601074219,86.10475158691406,222.37469482421875
2018-05-03,922.628662109375,272.8650817871094,85.40885925292969,223.2051239013672
2018-05-04,932.2867431640625,273.78466796875,84.94493865966797,223.25128173828125
2018-05-07,927.0825805664062,280.5118713378906,87.03260803222656,227.44964599609375
2018-05-08,922.2302856445312,299.386962890625,85.965576171875,230.7252960205078
2018-05-09,927.5513916015625,296.9670104980469,86.29032135009766,228.83370971679688
2018-05-10,934.2557983398438,297.01544189453125,84.80575561523438,228.78758239746094
2018-05-11,943.187255859375,300.9840393066406,82.39334869384766,231.00210571289062
2018-05-14,947.8756713867188,300.1612854003906,82.85726928710938,234.00094604492188
2018-05-15,955.4005126953125,298.3705749511719,79.74896240234375,228.83370971679688
2018-05-16,948.6258544921875,287.72308349609375,70.14566802978516,224.31240844726562
2018-05-17,950.6887817382812,286.5132141113281,70.9343490600586,223.94332885742188
2018-05-18,943.3748779296875,276.9304504394531,69.35700225830078,220.39085388183594
2018-05-21,934.4200439453125,280.02789306640625,72.51171112060547,225.55809020996094
2018-05-22,932.943115234375,280.995849609375,75.66641235351562,234.27772521972656
2018-05-23,922.441162109375,282.6897277832031,74.73855590820312,242.85902404785156
2018-05-24,931.1146240234375,288.1587219238281,76.17672729492188,247.74940490722656
2018-05-25,941.7572021484375,286.1744079589844,77.33653259277344,246.3192138671875
2018-05-28,957.4632568359375,289.65899658203125,82.30055236816406,251.02505493164062
2018-05-29,952.9625854492188,280.60870361328125,79.47059631347656,243.8739776611328
2018-05-30,960.3468627929688,275.7689208984375,79.88813781738281,246.50372314453125
2018-05-31,1009.4644775390625,276.64007568359375,77.61489868164062,248.71827697753906
2018-06-01,995.8523559570312,280.02789306640625,76.96540069580078,246.08853149414062
2018-06-04,965.4661254882812,277.5596618652344,77.19735717773438,242.6744842529297
2018-06-05,973.6761474609375,274.99456787109375,76.68704223632812,243.18194580078125
