Date,equity_gross
2016-04-28,100000.0
2016-04-29,100000.0
2016-04-30,100000.0
2016-05-01,100000.0
2016-05-02,100000.0
2016-05-03,100000.0
2016-05-04,100000.0
2016-05-05,100000.0
2016-05-06,100000.0
2016-05-07,100000.0
2016-05-08,100000.0
2016-05-09,100000.0
2016-05-10,100000.0
2016-05-11,100000.0
2016-05-12,100000.0
2016-05-13,100000.0
2016-05-14,100000.0
2016-05-15,100000.0
2016-05-16,100000.0
2016-05-17,100000.0
2016-05-18,100000.0
2016-05-19,100000.0
2016-05-20,100000.0
2016-05-21,100000.0
2016-05-22,100000.0
2016-05-23,100000.0
2016-05-24,100000.0
2016-05-25,100000.0
2016-05-26,100000.0
2016-05-27,100000.0
2016-05-28,100000.0
2016-05-29,100000.0
2016-05-30,100000.0
2016-05-31,100000.0
2016-06-01,100000.0
2016-06-02,100000.0
2016-06-03,100000.0
2016-06-04,100000.0
2016-06-05,100000.0
2016-06-06,100000.0
2016-06-07,100000.0
2016-06-08,100000.0
2016-06-09,100000.0
2016-06-10,100000.0
2016-06-11,100000.0
2016-06-12,100000.0
2016-06-13,100000.0
2016-06-14,100000.0
2016-06-15,100000.0
2016-06-16,100000.0
2016-06-17,100000.0
2016-06-18,100000.0
2016-06-19,100000.0
2016-06-20,100000.0
2016-06-21,100000.0
2016-06-22,100000.0
2016-06-23,100000.0
2016-06-24,100000.0
2016-06-25,100000.0
2016-06-26,100000.0
2016-06-27,100000.0
2016-06-28,99354.50936388747
2016-06-29,101312.93690716199
2016-06-30,101566.75498515682
2016-07-01,101104.8927289781
2016-07-02,101104.8927289781
2016-07-03,101104.8927289781
2016-07-04,101892.373339726
2016-07-05,101776.16291504602
2016-07-06,101776.16291504602
2016-07-07,101638.25704566397
2016-07-08,102822.01963448305
2016-07-09,102822.01963448305
2016-07-10,102822.01963448305
2016-07-11,102149.52279440874
2016-07-12,102149.52279440874
2016-07-13,102841.25579805157
2016-07-14,102400.20778502313
2016-07-15,101807.94859258916
2016-07-16,101807.94859258916
2016-07-17,101807.94859258916
2016-07-18,102652.50293865909
2016-07-19,102342.94436104252
2016-07-20,101994.19577540489
2016-07-21,102949.26897225634
2016-07-22,102134.12391082123
2016-07-23,102134.12391082123
2016-07-24,102134.12391082123
2016-07-25,102028.34583994553
2016-07-26,102629.93701061331
2016-07-27,102629.93701061331
2016-07-28,103146.00788491603
2016-07-29,103077.87254623797
2016-07-30,103077.87254623797
2016-07-31,103077.87254623797
2016-08-01,102611.0002469527
2016-08-02,103001.50945026094
2016-08-03,103181.57877523988
2016-08-04,102791.03975892835
2016-08-05,103410.3551119108
2016-08-06,103410.3551119108
2016-08-07,103410.3551119108
2016-08-08,103347.82598512463
2016-08-09,103394.39210408748
2016-08-10,103611.9577978194
2016-08-11,104267.69552190599
2016-08-12,104267.69552190599
2016-08-13,104267.69552190599
2016-08-14,104267.69552190599
2016-08-15,104267.69552190599
2016-08-16,103190.17985539579
2016-08-17,103249.40276322608
2016-08-18,103316.50213218595
2016-08-19,102408.1136182564
2016-08-20,102408.1136182564
2016-08-21,102408.1136182564
2016-08-22,103073.69989529469
2016-08-23,102863.68764916132
2016-08-24,103026.074414076
2016-08-25,103797.1904125596
2016-08-26,103797.1904125596
2016-08-27,103797.1904125596
2016-08-28,103797.1904125596
2016-08-29,103797.1904125596
2016-08-30,103983.93192684893
2016-08-31,104317.72290371571
2016-09-01,104317.72290371571
2016-09-02,104317.72290371571
2016-09-03,104317.72290371571
2016-09-04,104317.72290371571
2016-09-05,104317.72290371571
2016-09-06,104360.97073254817
2016-09-07,104526.78655390366
2016-09-08,104072.22976761639
2016-09-09,106383.04440570991
2016-09-10,106383.04440570991
2016-09-11,106383.04440570991
2016-09-12,108547.46112598882
2016-09-13,108547.46112598882
2016-09-14,108679.04642099839
2016-09-15,108315.09289217388
2016-09-16,108415.64358859153
2016-09-17,108415.64358859153
2016-09-18,108415.64358859153
2016-09-19,108415.64358859153
2016-09-20,108420.3511655589
2016-09-21,108420.3511655589
2016-09-22,108146.17140581968
2016-09-23,107520.95177925612
2016-09-24,107520.95177925612
2016-09-25,107520.95177925612
2016-09-26,106841.07150034142
2016-09-27,106397.38349443712
2016-09-28,106530.0120894786
2016-09-29,106935.35320936448
2016-09-30,106935.35320936448
2016-10-01,106935.35320936448
2016-10-02,106935.35320936448
2016-10-03,106884.88701476688
2016-10-04,106690.48647741899
2016-10-05,106537.33539881102
2016-10-06,106614.72040206542
2016-10-07,106484.31191150476
2016-10-08,106484.31191150476
2016-10-09,106484.31191150476
2016-10-10,107056.12980212492
2016-10-11,107056.12980212492
2016-10-12,107056.12980212492
2016-10-13,107056.12980212492
2016-10-14,108143.25501924744
2016-10-15,108143.25501924744
2016-10-16,108143.25501924744
2016-10-17,108143.25501924744
2016-10-18,108143.25501924744
2016-10-19,108543.28553703541
2016-10-20,108543.28553703541
2016-10-21,109514.97603435915
2016-10-22,109514.97603435915
2016-10-23,109514.97603435915
2016-10-24,109099.41664462854
2016-10-25,107394.78030051175
2016-10-26,107969.04106267661
2016-10-27,107522.94873726982
2016-10-28,109814.36578549288
2016-10-29,109814.36578549288
2016-10-30,109814.36578549288
2016-10-31,109814.36578549288
2016-11-01,109814.36578549288
2016-11-02,110335.52612496237
2016-11-03,110627.34826502763
2016-11-04,110067.08388132707
2016-11-05,110067.08388132707
2016-11-06,110067.08388132707
2016-11-07,109319.0748529063
2016-11-08,109469.06311573481
2016-11-09,106743.31998224037
2016-11-10,102574.57109959249
2016-11-11,103118.47925548755
2016-11-12,103118.47925548755
2016-11-13,103118.47925548755
2016-11-14,103118.47925548755
2016-11-15,105817.06511570759
2016-11-16,111870.2938113358
2016-11-17,111208.35594871582
2016-11-18,111341.76839824517
2016-11-19,111341.76839824517
2016-11-20,111341.76839824517
2016-11-21,116050.93413946967
2016-11-22,115918.28200644525
2016-11-23,115899.85823601166
2016-11-24,115899.85823601166
2016-11-25,116303.53069950102
2016-11-26,116303.53069950102
2016-11-27,116303.53069950102
2016-11-28,116303.53069950102
2016-11-29,116434.06629322174
2016-11-30,116662.31875546968
2016-12-01,116662.31875546968
2016-12-02,116662.31875546968
2016-12-03,116662.31875546968
2016-12-04,116662.31875546968
2016-12-05,116662.31875546968
2016-12-06,116662.31875546968
2016-12-07,116662.31875546968
2016-12-08,116662.31875546968
2016-12-09,116662.31875546968
2016-12-10,116662.31875546968
2016-12-11,116662.31875546968
2016-12-12,116662.31875546968
2016-12-13,116662.31875546968
2016-12-14,116662.31875546968
2016-12-15,116801.27215174744
2016-12-16,116818.38884438392
2016-12-17,116818.38884438392
2016-12-18,116818.38884438392
2016-12-19,116788.87368634541
2016-12-20,116971.04420944337
2016-12-21,117790.30824925081
2016-12-22,118249.5353485018
2016-12-23,118087.56272533885
2016-12-24,118087.56272533885
2016-12-25,118087.56272533885
2016-12-26,118087.56272533885
2016-12-27,118087.56272533885
2016-12-28,117825.94700583263
2016-12-29,117727.59252406647
2016-12-30,117901.23934808961
2016-12-31,117901.23934808961
