open_date,close_date,pair,side,entry_z,exit_z,hold_days,t1,t2,entry_price1,entry_price2,exit_price1,exit_price2,qty1,qty2,pnl,equity_after,reason_close
2019-03-27,2019-04-16,AUBANK.NS-BANKBARODA.NS,1,-1.5930496639952658,-0.4774546231366733,20,AUBANK.NS,BANKBARODA.NS,285.52520751953125,107.75598907470703,300.4090270996094,116.04490661621094,35.023177417062044,-92.80226636003515,-247.95167972639513,-247.95167972639513,max_holding
2020-03-02,2020-03-23,IDFCFIRSTB.NS-INDUSINDBK.NS,-1,2.0036142431897233,2.8866065313473817,21,IDFCFIRSTB.NS,INDUSINDBK.NS,37.327823638916016,1042.236083984375,18.090787887573242,324.9111328125,-267.89667934389104,9.594755117066086,-1729.0192476510847,-1976.9709273774797,max_holding
2020-03-16,2020-04-07,BANKBARODA.NS-CANBK.NS,1,-1.61466233629181,-2.565495583427824,22,BANKBARODA.NS,CANBK.NS,56.47105407714844,17.424543380737305,42.68573760986328,15.177627563476562,177.0818725348815,-573.9031308593671,-1151.6176312094194,-3128.588558586899,max_holding
2020-03-20,2020-04-09,ICICIBANK.NS-KOTAKBANK.NS,-1,2.780436781995186,1.3150926304622,20,ICICIBANK.NS,KOTAKBANK.NS,336.9366760253906,1257.09814453125,334.0127258300781,1267.6041259765625,-29.679167367480137,7.954828382734449,170.35368661050927,-2958.23487197639,max_holding
2020-03-23,2020-04-13,IDFCFIRSTB.NS-INDUSINDBK.NS,-1,2.8866065313473817,1.4318405405954506,21,IDFCFIRSTB.NS,INDUSINDBK.NS,18.090787887573242,324.9111328125,22.127574920654297,396.324951171875,-552.767522462032,30.77764653195435,-33.45550802103571,-2991.6903799974257,max_holding
2020-04-01,2020-04-21,BANDHANBNK.NS-INDUSINDBK.NS,-1,1.9325378241777864,1.2183699752764412,20,BANDHANBNK.NS,INDUSINDBK.NS,191.4993133544922,330.51220703125,191.9414520263672,387.1025085449219,-52.2195083879418,30.25606857254291,1689.1117790539251,-1302.5786009435005,max_holding
2020-11-06,2020-11-26,BANDHANBNK.NS-IDFCFIRSTB.NS,-1,1.83417581104331,1.9773706081254696,20,BANDHANBNK.NS,IDFCFIRSTB.NS,325.1263122558594,31.54674530029297,360.154296875,35.683204650878906,-30.757276858387463,316.9899114729636,233.85046263150298,-1068.7281383119976,max_holding
2020-11-09,2020-12-01,AXISBANK.NS-ICICIBANK.NS,-1,1.857887402061286,1.1380697152227846,22,AXISBANK.NS,ICICIBANK.NS,562.7005004882812,450.97076416015625,601.1400756835938,472.80291748046875,-17.771443230142033,22.174386445256644,-199.01212371756958,-1267.740262029567,max_holding
2020-11-18,2020-12-08,ICICIBANK.NS-SBIN.NS,-1,1.7535485708000378,0.9932130065482716,20,ICICIBANK.NS,SBIN.NS,485.0347900390625,232.52459716796875,495.5122985839844,250.8866729736328,-20.617077795996128,43.00620287829722,573.6675485861931,-694.0727134433739,max_holding
2020-11-20,2020-12-10,AXISBANK.NS-SBIN.NS,-1,1.6929805352276042,1.0086856211543036,20,AXISBANK.NS,SBIN.NS,605.322509765625,223.98947143554688,624.4426879882812,248.71824645996094,-16.52011917394564,44.644955568268784,788.1474393573192,94.07472591394526,max_holding
2020-12-09,2020-12-22,PNB.NS-UNIONBANK.NS,-1,1.8473686584486975,0.08108943459243728,13,PNB.NS,UNIONBANK.NS,36.557403564453125,29.32098388671875,30.990291595458984,25.08909034729004,-273.5424024950059,341.05267540253334,79.54256931650184,173.6172952304471,mean_revert
2024-05-06,2024-05-27,KOTAKBANK.NS-SBIN.NS,1,-1.9774365210413476,-0.8363554045004346,21,KOTAKBANK.NS,SBIN.NS,1620.6531982421875,778.838134765625,1707.158447265625,817.2891845703125,6.170351566174874,-12.83963837108373,40.07022431339783,213.68751954384493,max_holding
