Date,equity_gross
2024-04-01,100000.0
2024-04-02,100000.0
2024-04-03,100000.0
2024-04-04,100000.0
2024-04-05,100000.0
2024-04-06,100000.0
2024-04-07,100000.0
2024-04-08,100000.0
2024-04-09,100000.0
2024-04-10,100000.0
2024-04-11,100000.0
2024-04-12,100000.0
2024-04-13,100000.0
2024-04-14,100000.0
2024-04-15,100000.0
2024-04-16,100000.0
2024-04-17,100000.0
2024-04-18,100000.0
2024-04-19,100000.0
2024-04-20,100000.0
2024-04-21,100000.0
2024-04-22,100000.0
2024-04-23,100000.0
2024-04-24,100000.0
2024-04-25,100000.0
2024-04-26,100000.0
2024-04-27,100000.0
2024-04-28,100000.0
2024-04-29,100000.0
2024-04-30,100000.0
2024-05-01,100000.0
2024-05-02,100000.0
2024-05-03,100000.0
2024-05-04,100000.0
2024-05-05,100000.0
2024-05-06,100000.0
2024-05-07,100000.0
2024-05-08,100000.0
2024-05-09,100000.0
2024-05-10,100000.0
2024-05-11,100000.0
2024-05-12,100000.0
2024-05-13,100000.0
2024-05-14,100000.0
2024-05-15,100000.0
2024-05-16,100000.0
2024-05-17,100000.0
2024-05-18,100000.0
2024-05-19,100000.0
2024-05-20,100000.0
2024-05-21,100000.0
2024-05-22,100000.0
2024-05-23,100000.0
2024-05-24,100000.0
2024-05-25,100000.0
2024-05-26,100000.0
2024-05-27,100000.0
2024-05-28,100000.0
2024-05-29,100000.0
2024-05-30,100000.0
2024-05-31,98569.54143137283
2024-06-01,98569.54143137283
2024-06-02,98569.54143137283
2024-06-03,97781.07481521653
2024-06-04,98573.82741380749
2024-06-05,97568.82730462514
2024-06-06,99406.87046633133
2024-06-07,99440.96015266994
2024-06-08,99440.96015266994
2024-06-09,99440.96015266994
2024-06-10,100542.38615758599
2024-06-11,101037.15325054886
2024-06-12,100503.03315788339
2024-06-13,100389.79260568807
2024-06-14,99417.64622892457
2024-06-15,99417.64622892457
2024-06-16,99417.64622892457
2024-06-17,99417.64622892457
2024-06-18,99927.0402552531
2024-06-19,100798.07817669136
2024-06-20,100810.94568964775
2024-06-21,101173.23302409852
2024-06-22,101173.23302409852
2024-06-23,101173.23302409852
2024-06-24,100627.38580403864
2024-06-25,99195.13331955385
2024-06-26,99804.87125023612
2024-06-27,100538.76005164515
2024-06-28,101551.5017228108
2024-06-29,101551.5017228108
2024-06-30,101551.5017228108
2024-07-01,101673.531064038
2024-07-02,101487.11010137034
2024-07-03,101419.72138665368
2024-07-04,101438.94936814849
2024-07-05,102246.17443443647
2024-07-06,102246.17443443647
2024-07-07,102246.17443443647
2024-07-08,102301.78353170404
2024-07-09,102406.48553363793
2024-07-10,101820.65446738669
2024-07-11,101461.67261692826
2024-07-12,101204.56023250059
2024-07-13,101204.56023250059
2024-07-14,101204.56023250059
2024-07-15,100495.63315528524
2024-07-16,100966.18121120006
2024-07-17,100966.18121120006
2024-07-18,98910.58637032457
2024-07-19,95768.33594994189
2024-07-20,95768.33594994189
2024-07-21,95768.33594994189
2024-07-22,93488.87195652783
2024-07-23,93327.62843220939
2024-07-24,92757.5554729239
2024-07-25,92425.27568245033
2024-07-26,94769.94033190947
2024-07-27,94769.94033190947
2024-07-28,94769.94033190947
2024-07-29,94768.44053399096
2024-07-30,94740.05052520524
2024-07-31,94783.88699061525
2024-08-01,93602.46456737445
2024-08-02,95279.26123503626
2024-08-03,95279.26123503626
2024-08-04,95279.26123503626
2024-08-05,95062.12988021952
2024-08-06,94642.21690367776
2024-08-07,95014.31655027781
2024-08-08,95142.79030153068
2024-08-09,95055.10500589582
2024-08-10,95055.10500589582
2024-08-11,95055.10500589582
2024-08-12,94181.94649473316
2024-08-13,93841.53270586245
2024-08-14,95229.88124200136
2024-08-15,95229.88124200136
2024-08-16,95368.15569878688
2024-08-17,95368.15569878688
2024-08-18,95368.15569878688
2024-08-19,96542.38681156706
2024-08-20,96473.42083825075
2024-08-21,96354.07312862054
2024-08-22,96856.608826889
2024-08-23,94757.66326547666
2024-08-24,94757.66326547666
2024-08-25,94757.66326547666
2024-08-26,95346.80354337329
2024-08-27,95401.56015102036
2024-08-28,93527.00726323886
2024-08-29,93527.00726323886
2024-08-30,93527.00726323886
2024-08-31,93527.00726323886
